1,Винницкая область,,,,,,,,,,,,,,,,,,,,,,,,1,5,16,22
1,Винницкая область,,,,,,,,,,,,,,,,,,,,,,,,1,5,16,22
2,Волынская область,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2
3,Днепропетровская область,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,7,6
4,Донецкая область,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2
5,Житомирская область,,,,,,,,,,,1,,,1,1,1,1,2,2,2,2,2,2,2,2,4,5
6,Закарпатская область,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
7,Запорожская область,,,,,,,,,,,,,,,,,,,,,,,2,7,8,10,11
8,Ивано-Франковская область,,,,,,,,,,,,,,,,,,2,2,2,5,5,5,16,24,28,41
9,Киевская область,,,,,,,,,,,,,,,1,2,2,3,4,4,5,15,22,24,32,41,45
10,Кировоградская область,,,,,,,,,,,,,,,,,,,,,,,,,,,4
11,Луганская область,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2
12,Львовская область,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,3,5,5
13,Николаевская область,,,,,,,,,,,,,,,,,,,,,,,,,,1,
14,Одесская область,,,,,,,,,,,,,,,,,,,,,,,1,4,4,6,8
15,Полтавская область,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
16,Ровненский район,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9
17,Сумская область,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
18,Тернопольская область,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,15,25,43,57
19,Харьковская область,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
20,Херсонская область,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
21,Хмельницкая область,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
22,Черкасская область,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,3,46
23,Черневецкий район,1,,,,,,,,,,2,,,4,10,10,15,25,25,25,25,38,38,42,47,47,59
24,Черниговская область,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
25,Киев,,,,,,,,,,,,,,2,2,2,2,2,9,25,29,29,31,34,47,74,82
